pde,model,n,grid_size,adaptive,epoch,phase,total,ic,bc,l2,w_pde,w_ic,w_bc
1676.3983154296875,MLP,8,,True,8200,adam,1740.5174560546875,0.0,0.6413145065307617,1.467817783355713,1.0,1.0,99.98078360169923
1639.4150390625,MLP,8,,True,8300,adam,1702.1173095703125,0.0,0.6271311044692993,1.4498387575149536,1.0,1.0,99.9827052415293
1604.0830078125,MLP,8,,True,8400,adam,1665.4693603515625,0.0,0.6139593720436096,1.4321290254592896,1.0,1.0,99.98443471737637
1570.1669921875,MLP,8,,True,8500,adam,1630.326904296875,0.0,0.6016833782196045,1.414654016494751,1.0,1.0,99.98599124563874
1542.841552734375,MLP,8,,True,8600,adam,1602.062744140625,0.0,0.5922864675521851,1.4002289772033691,1.0,1.0,99.98739212107488
1519.2000732421875,MLP,8,,True,8700,adam,1577.64794921875,0.0,0.5845445990562439,1.3876843452453613,1.0,1.0,99.9886529089674
1497.3720703125,MLP,8,,True,8800,adam,1555.134521484375,0.0,0.5776838064193726,1.3759279251098633,1.0,1.0,99.98978761807066
1475.3858642578125,MLP,8,,True,8900,adam,1532.4864501953125,0.0,0.5710579752922058,1.3640815019607544,1.0,1.0,99.9908088562636
1453.3326416015625,MLP,8,,True,9000,adam,1509.794921875,0.0,0.5646696090698242,1.3521426916122437,1.0,1.0,99.99172797063724
1431.4254150390625,MLP,8,,True,9100,adam,1487.2774658203125,0.0,0.5585622787475586,1.3402036428451538,1.0,1.0,99.99255517357352
1409.0911865234375,MLP,8,,True,9200,adam,1464.3438720703125,0.0,0.5525637269020081,1.3279372453689575,1.0,1.0,99.99329965621617
1387.1190185546875,MLP,8,,True,9300,adam,1441.802978515625,0.0,0.5468721389770508,1.3157453536987305,1.0,1.0,99.99396969059455
1363.4034423828125,MLP,8,,True,9400,adam,1417.4808349609375,0.0,0.5408035516738892,1.301724910736084,1.0,1.0,99.9945727215351
1334.5784912109375,MLP,8,,True,9500,adam,1387.93408203125,0.0,0.5335817933082581,1.2842860221862793,1.0,1.0,99.9951154493816
1315.1817626953125,MLP,8,,True,9600,adam,1368.0692138671875,0.0,0.5288975238800049,1.2716772556304932,1.0,1.0,99.99560390444344
1293.5111083984375,MLP,8,,True,9700,adam,1345.911865234375,0.0,0.5240288376808167,1.257651686668396,1.0,1.0,99.9960435139991
1271.1536865234375,MLP,8,,True,9800,adam,1323.07373046875,0.0,0.519218921661377,1.2429388761520386,1.0,1.0,99.99643916259919
1256.424072265625,MLP,8,,True,9900,adam,1308.0391845703125,0.0,0.5161679983139038,1.2330992221832275,1.0,1.0,99.99679524633927
1244.2320556640625,MLP,8,,True,10000,adam,1295.596923828125,0.0,0.5136632323265076,1.2246427536010742,1.0,1.0,99.99711572170536
1000.77783203125,MLP,8,,True,10000,lbfgs,1054.5703125,0.0,0.5379403829574585,0.8785130381584167,1.0,1.0,99.99711572170536
310.5271911621094,MLP,8,,True,10010,lbfgs,350.6613464355469,0.0,0.40135300159454346,0.48755672574043274,1.0,1.0,99.99711572170536
139.4242401123047,MLP,8,,True,10020,lbfgs,157.27528381347656,0.0,0.17851561307907104,0.2844866216182709,1.0,1.0,99.99711572170536
69.24642181396484,MLP,8,,True,10030,lbfgs,80.19058227539062,0.0,0.1094447448849678,0.2113318294286728,1.0,1.0,99.99711572170536
43.30987548828125,MLP,8,,True,10040,lbfgs,50.18922424316406,0.0,0.06879545748233795,0.1584230214357376,1.0,1.0,99.99711572170536
28.18343162536621,MLP,8,,True,10050,lbfgs,32.89210891723633,0.0,0.04708811640739441,0.11931536346673965,1.0,1.0,99.99711572170536
20.096349716186523,MLP,8,,True,10060,lbfgs,23.49254608154297,0.0,0.03396293893456459,0.0950559452176094,1.0,1.0,99.99711572170536
14.903434753417969,MLP,8,,True,10070,lbfgs,17.716259002685547,0.0,0.028129061684012413,0.08108250051736832,1.0,1.0,99.99711572170536
11.242921829223633,MLP,8,,True,10080,lbfgs,13.613152503967285,0.0,0.023702988401055336,0.07464314252138138,1.0,1.0,99.99711572170536
9.072388648986816,MLP,8,,True,10090,lbfgs,11.146641731262207,0.0,0.020743131637573242,0.07112224400043488,1.0,1.0,99.99711572170536
7.40032958984375,MLP,8,,True,10100,lbfgs,9.292187690734863,0.0,0.01891912706196308,0.06854579597711563,1.0,1.0,99.99711572170536
6.271973133087158,MLP,8,,True,10110,lbfgs,7.909311294555664,0.0,0.016373852267861366,0.0630277544260025,1.0,1.0,99.99711572170536
5.430300712585449,MLP,8,,True,10120,lbfgs,6.851493835449219,0.0,0.014212341047823429,0.05737532675266266,1.0,1.0,99.99711572170536
4.701336860656738,MLP,8,,True,10130,lbfgs,5.941184997558594,0.0,0.012398841790854931,0.05223720520734787,1.0,1.0,99.99711572170536
4.0520734786987305,MLP,8,,True,10140,lbfgs,5.174403190612793,0.0,0.011223621666431427,0.050384171307086945,1.0,1.0,99.99711572170536
3.5578346252441406,MLP,8,,True,10150,lbfgs,4.568756103515625,0.0,0.010109505616128445,0.04720373451709747,1.0,1.0,99.99711572170536
3.1738271713256836,MLP,8,,True,10160,lbfgs,4.065531253814697,0.0,0.008917298167943954,0.04813731461763382,1.0,1.0,99.99711572170536
2.8491289615631104,MLP,8,,True,10170,lbfgs,3.652218818664551,0.0,0.008031128905713558,0.04226961359381676,1.0,1.0,99.99711572170536
2.5489673614501953,MLP,8,,True,10180,lbfgs,3.273960590362549,0.0,0.0072501408867537975,0.04170636460185051,1.0,1.0,99.99711572170536
2.2794904708862305,MLP,8,,True,10190,lbfgs,2.949230909347534,0.0,0.006697596982121468,0.038468074053525925,1.0,1.0,99.99711572170536
